
start_station_name,end_station_name,latitude,longitude,total_trips
Grant Avenue at Columbus Avenue,Embarcadero at Sansome,37.7979,-122.405942,805
San Jose Diridon Caltrain Station,St James Park,37.329732,-121.901782,804
Market at 4th,2nd at South Park,37.786305,-122.404966,803
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),37.794231,-122.402923,801
Market at Sansome,Powell Street BART,37.789625,-122.400811,800
Harry Bridges Plaza (Ferry Building),Grant Avenue at Columbus Avenue,37.795392,-122.394203,799
Beale at Market,Spear at Folsom,37.792251,-122.397086,796
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),37.781332,-122.418603,796
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,37.80477,-122.403234,790
5th at Howard,Townsend at 7th,37.781752,-122.405127,788
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),37.7913,-122.399051,783
Embarcadero at Bryant,Embarcadero at Bryant,37.787152,-122.388013,780
